window_kwh,cost_cap,p_kw,cost_pow
4800.000000,40058.771012,500.000000,44496.320345
6000.000000,38372.644876,1250.000000,40166.168619
7200.000000,37165.005389,2500.000000,36390.838967
8400.000000,36031.369451,3750.000000,35346.866751
9600.000000,35126.948589,5000.000000,35126.948589
10800.000000,34342.270892,7500.000000,35027.134884
12000.000000,33564.217116,10000.000000,34960.592790
